Object,Neighbor,Distance
6477,6507,13.728102
6488,6492,9.364081
6492,6488,9.364081
6498,6461,10.597726
6507,6477,13.728102
6523,6472,13.670892
6538,6570,13.901234
6542,6569,12.213338
6569,6542,12.213338
6570,6538,13.901234
6578,6617,10.786793
6595,6600,12.204405
6598,6645,13.211242
6600,6595,12.204405
6604,6636,8.446921
6617,6578,10.786793
6636,6604,8.446921
6645,6598,13.211242
6656,6679,10.911467
6668,6688,14.08737
6679,6656,10.911467
6686,6742,13.801473
6688,6668,14.08737
6697,6738,12.694431
6738,6697,12.694431
6742,6686,13.801473
6744,6787,10.482104
6746,6792,14.109718
6787,6744,10.482104
6792,6818,7.648143
6792,6746,14.109718
6817,6840,14.192026
6818,6792,7.648143
6836,6845,12.228359
6840,6817,14.192026
6840,6867,14.500252
6845,6836,12.228359
6864,6910,14.466843
6867,6840,14.500252
6890,6931,11.452088
6910,6864,14.466843
6927,6943,6.3234034
6927,6931,12.944729
6931,6927,12.944729
6931,6890,11.452088
6943,6927,6.3234034
6958,6974,13.204562
6961,6998,12.39843
6974,6958,13.204562
6981,7028,11.881851
6986,7063,14.279995
6998,6961,12.39843
7028,6981,11.881851
7063,6986,14.279995
7077,7136,14.618315
7079,7090,13.651992
7090,7079,13.651992
7092,7098,14.392292
7094,7156,14.004748
7098,7092,14.392292
7103,7143,13.448502
7129,7175,14.354499
7136,7175,14.17626
7136,7077,14.618315
7143,7103,13.448502
7156,7094,14.004748
7175,7136,14.17626
7175,7129,14.354499
7183,7252,13.678876
7221,7239,12.1373
7225,7259,13.367691
7239,7221,12.1373
7252,7183,13.678876
7259,7225,13.367691
7311,7339,14.460014
7318,7352,14.321796
7339,7311,14.460014
7339,7340,14.377717
7340,7339,14.377717
7352,7318,14.321796
7352,7410,13.247718
7359,7389,14.418827
7375,7411,14.2550955
7381,7425,11.466803
7389,7418,13.229677
7389,7359,14.418827
7408,7432,9.188248
7409,7437,9.489673
7410,7352,13.247718
7411,7375,14.2550955
7413,7433,8.462113
7418,7389,13.229677
7422,7446,11.099462
7425,7381,11.466803
7432,7408,9.188248
7433,7413,8.462113
7434,7487,14.903742
7437,7409,9.489673
7446,7422,11.099462
7450,7456,6.372874
7456,7450,6.372874
7475,7531,11.139041
7479,7554,14.995633
7487,7434,14.903742
7496,7551,14.660043
